,name,price,publishers,genres,estimated_owners,median_playtime_forever,peak_ccu,release_year,compatible_systems,positive_rate
34055,Lost Lands: Mahjong,0.0,['FIVE-BN GAMES'],['Adventure',100000 - 200000,81,67,2016,2,0.9200747353124351
34068,Shelter 2,14.99,['Might and Delight'],['Adventure',200000 - 500000,90,13,2015,3,0.8480142566191446
34072,3089 -- Futuristic Action RPG,6.99,"[""Phr00t's Software""]",['Action',50000 - 100000,80,0,2014,3,0.7077205882352942
34073,Millie,3.99,['Forever Entertainment S. A.'],['Action',100000 - 200000,179,4,2014,3,0.8112391930835735
34077,Metal Planet,0.0,['Tiny Game Fort'],['Action',0 - 20000,247,0,2014,1,0.23636363636363636
34079,Bean Battles,0.99,['Gupa Games'],['Action',100000 - 200000,231,42,2018,1,0.9472541507024266
34081,Dropsy,9.99,['Devolver Digital'],['Adventure',100000 - 200000,151,5,2015,3,0.9386539606908875
34082,Mesozoica,0.99,['Underdog Interactive'],['Action',20000 - 50000,348,1,2018,1,0.22540250447227192
34086,Vault of the Void,14.99,['Spider Nest Games'],['Indie',50000 - 100000,1133,274,2020,1,0.9522744220730798
34087,"Dr. Langeskov, The Tiger, and The Terribly Cursed Emerald: A Whirlwind Heist",0.0,['Crows Crows Crows'],['Free to Play',200000 - 500000,33,3,2015,2,0.9349157733537519
34088,Beer and Skittls VR,0.0,['Black Poodle Entertainment'],['Casual',0 - 20000,20,0,2018,1,0.8695652173913043
34089,Horizon Chase Turbo,19.99,['AQUIRIS'],['Action',200000 - 500000,214,38,2018,3,0.9393652297489341
34099,Hearts of Iron IV,39.99,['Paradox Interactive'],['Simulation',2000000 - 5000000,3917,42442,2016,3,0.9203935411348189
34104,Jump Stars,0.99,['CDP'],['Action',0 - 20000,20,0,2017,1,0.41935483870967744
34108,Rush for gold: Alaska,3.99,['Rainbow Games'],['Casual',20000 - 50000,328,0,2016,1,0.7551020408163265
34111,Backspace Bouken,14.99,['RNG Party Games'],['Action',0 - 20000,8,0,2019,3,0.9333333333333333
34122,Antaria Online,0.0,"['Antaria, LLC']",['Action',20000 - 50000,705,0,2017,2,0.6528189910979229
34124,Stargazer Christmas,0.0,['John Wizard'],['Adventure',0 - 20000,91,0,2016,1,0.8461538461538461
34141,Ziggy's Chase,1.99,['phime studio LLC'],['Action',0 - 20000,274,0,2016,2,0.46153846153846156
34151,Binary Domain,14.99,['SEGA'],['Action'],500000 - 1000000,157,19,2012,1,0.8524468243343746
34156,Puzzle Girls: Alexa,0.0,['Dharker Studios Ltd'],['Casual',0 - 20000,20,1,2020,1,
34158,Anomaly Warzone Earth Mobile Campaign,0.99,['11 bit studios'],['Action',100000 - 200000,199,0,2013,3,0.8035320088300221
34161,Pivvot,4.99,['Fixpoint Productions Ltd.'],['Action',20000 - 50000,365,0,2014,3,0.9
34162,Sid Meier's Civilization® III Complete,4.99,['2K'],['Strategy'],1000000 - 2000000,41,1775,2006,1,0.8910211267605633
34168,Slay the Spire,24.99,['Mega Crit Games'],['Indie',2000000 - 5000000,2075,11641,2019,3,0.9788649025069638
34170,Immortal Defense,9.99,['Studio Eres'],['Action',0 - 20000,179,1,2015,1,0.8685714285714285
34173,Touhou Chireiden ~ Subterranean Animism.,14.99,"['Mediascape Co., Ltd.']",['Action',20000 - 50000,18,12,2020,1,0.9720496894409938
34178,Ladra,1.99,['Bright Flask Games'],['Action',20000 - 50000,88,0,2015,1,0.74
34181,The Heart of Darkness,19.99,['Kagura Games'],['Adventure',0 - 20000,108,5,2022,1,0.8631578947368421
34189,Heroes of Havoc: Idle Adventures,0.0,['Kiz Studios'],['Free to Play',50000 - 100000,63,0,2016,2,0.4
34195,Hitman GO: Definitive Edition,7.99,['Square Enix'],['Strategy'],200000 - 500000,201,4,2016,2,0.8508257858284497
34203,Copa Petrobras de Marcas,0.0,['Reiza Studios'],['Free to Play',500000 - 1000000,14,10,2015,1,0.6419701986754967
34208,Ablepsia,0.49,['NedoStudio'],['Casual',20000 - 50000,59,0,2017,1,0.5523255813953488
34209,Deathmatch Classic,4.99,['Valve'],['Action'],5000000 - 10000000,10,2,2001,3,0.8184132371658889
34210,我的纸片人女友/Make butter together!,6.99,['PeriScope Game'],['Adventure',0 - 20000,259,0,2019,1,0.9299674267100977
34212,Pride of Nations,19.99,['Slitherine Ltd.'],['Simulation',50000 - 100000,305,4,2011,1,0.46956521739130436
34214,AudioTheory Guitars,6.99,"[""Dracula's Cave""]",['Audio Production',0 - 20000,1,0,2019,3,0.8913043478260869
34216,Titanic VR,19.99,['Immersive VR Education Ltd'],['Action',20000 - 50000,111,3,2018,1,0.8165137614678899
34223,Assassin's Creed® Revelations,19.99,['Ubisoft'],['Action',1000000 - 2000000,746,216,2011,1,0.8557993730407524
34230,Manual Samuel - Anniversary Edition,1.99,['Curve Games'],['Adventure',500000 - 1000000,214,7,2016,3,0.8243713733075435
34232,Quake 4,14.99,['Bethesda Softworks'],['Action'],200000 - 500000,429,26,2011,1,0.8760539629005059
34249,Evil Bank Manager,11.99,['Hamsters Gaming'],['Indie',50000 - 100000,445,21,2018,1,0.7717996289424861
34252,DRAW CHILLY,4.99,['AZAMATIKA'],['Action',0 - 20000,17,1,2019,1,0.847682119205298
34265,Conflict Desert Storm™,6.99,['Square Enix'],['Action'],100000 - 200000,1251,6,2012,1,0.7377979568671964
34270,The Legend of Dark Witch,6.99,['INSIDE SYSTEM'],['Action',20000 - 50000,439,0,2015,1,0.7543859649122807
34273,Some Some Convenience Store,14.99,"['TALESSHOP Co., Ltd.']",['Adventure',100000 - 200000,660,16,2020,1,0.9638025594149908
34274,Sinless + OST,4.99,['Forever Entertainment S. A.'],['Adventure',50000 - 100000,428,2,2015,2,0.7096774193548387
34282,Street Fighter® IV,0.0,['Capcom'],['Action'],100000 - 200000,328,3,2009,1,0.6938775510204082
34283,Sakura Nova,14.99,['Winged Cloud'],['Adventure',50000 - 100000,520,1,2016,2,0.8696808510638298
34289,Agents of Mayhem,29.99,['Deep Silver'],['Action'],200000 - 500000,1079,21,2017,1,0.5955678670360111
34292,Cybercube,10.99,['EGAMER'],['Action',20000 - 50000,184,0,2017,3,0.8081395348837209
34294,LEGO® Star Wars™ III - The Clone Wars™,19.99,"['LucasArts', 'Lucasfilm', 'Disney']",['Action',500000 - 1000000,408,154,2011,1,0.9444353652557608
34295,Soccer Manager 2017,0.0,['Soccer Manager Ltd'],['Free to Play',200000 - 500000,10,0,2016,2,0.6572327044025157
34299,GALAK-Z,19.99,['17-BIT'],['Action',200000 - 500000,681,2,2015,3,0.7299412915851272
34305,Dungeon of gain,4.99,['Defroids team'],['Indie',50000 - 100000,201,0,2016,2,0.1346153846153846
34309,Collider,2.99,['Binary Cocoa'],['Action',20000 - 50000,13,0,2016,3,0.71875
34313,Apartment 666,1.99,['I Need Play'],['Action',50000 - 100000,260,0,2016,2,0.34057971014492755
34320,Senren＊Banka,34.99,"['HIKARI FIELD', 'NekoNyan Ltd.']",['Adventure',100000 - 200000,1046,280,2020,1,0.9917627677100495
34326,Supreme Ruler Ultimate,19.99,['BattleGoat Studios'],['Indie',100000 - 200000,2137,142,2014,2,0.7617702448210922
34327,Winkeltje: The Little Shop,14.99,['Sassybot'],['Casual',100000 - 200000,356,41,2022,1,0.9152097902097902
34328,Grim Tales: The Legacy Collector's Edition,9.99,['Big Fish Games'],['Adventure',0 - 20000,431,0,2017,1,0.7142857142857143
34329,DANGO!,4.99,['430Games'],['Adventure',0 - 20000,4,7,2022,1,0.5707070707070707
34330,Sixtieth Kilometer,0.56,['KishMish Games'],['Adventure',200000 - 500000,313,84,2016,2,0.770306258322237
34331,Risk of Rain,9.99,['Chucklefish'],['Action',1000000 - 2000000,272,68,2013,3,0.936764602268724
34332,An Aspie Life,0.0,['EnderLost Studios'],['Adventure',20000 - 50000,15,0,2018,1,0.6694915254237288
34335,Oblivity - Find your perfect Sensitivity,9.99,['Poly Games'],['Action',100000 - 200000,335,95,2022,1,0.8032305433186491
34336,Death Mark Vol.1 - 死印之迷雾,9.99,['朵游社'],['Indie'],0 - 20000,13,0,2018,1,0.7906976744186046
34342,Samurai Bringer,9.99,['PLAYISM'],['Action',50000 - 100000,302,22,2022,1,0.8790322580645161
34355,Fall of Civilization,0.0,['Luke Dodds'],['Adventure',50000 - 100000,256,0,2016,1,0.4
34365,Delta Force — Black Hawk Down: Team Sabre,9.99,"['NovaLogic', 'THQ Nordic']",['Action'],20000 - 50000,711,19,2009,1,0.9121951219512195
34366,Organ Trail: Director's Cut,4.99,['The Men Who Wear Many Hats'],['Indie',200000 - 500000,167,7,2013,3,0.8845470692717584
34371,RAYGUN COMMANDO VR,0.0,['Chun Y.'],['Casual',20000 - 50000,2,0,2017,1,0.84375
34378,Assassin's Creed® Syndicate,29.99,['Ubisoft'],['Action',1000000 - 2000000,1148,540,2015,1,0.7986308922172195
34394,Pester,0.99,['Funbox Media Ltd'],['Indie'],100000 - 200000,227,1,2015,1,0.5257731958762887
34397,Typoman,9.99,['Brainseed Factory'],['Adventure',100000 - 200000,490,2,2016,3,0.8720588235294118
34398,The NADI Project,0.0,['Monkeys Tales Studio'],['Adventure',100000 - 200000,16,0,2016,3,0.6610978520286396
34399,Songs of Conquest,29.99,['Coffee Stain Publishing'],['Adventure',100000 - 200000,476,849,2022,2,0.8757378984651711
34400,Nyasha,0.51,['IR Studio'],['Casual',200000 - 500000,311,7,2019,1,0.8224852071005917
34402,弹幕音乐绘 ～风雷幻奏曲～ / Barrage Musical  ~A Fantasy of Tempest~,9.99,['SlimeSmile'],['Action',20000 - 50000,333,0,2017,1,0.9662576687116564
34406,Golf It!,8.99,['Perfuse Entertainment'],['Casual',1000000 - 2000000,300,1385,2017,2,0.8944961280598721
34408,Rebuild 3: Gangs of Deadsville,14.99,['Northway Games'],['Indie',200000 - 500000,784,43,2015,2,0.8589360430364614
34412,Talisman: Digital Edition,6.99,['Nomad Games'],['Indie',500000 - 1000000,254,381,2014,2,0.7819714656290532
34413,Amygdala,9.99,['MachineSpirit'],['Action',0 - 20000,226,0,2015,3,0.3235294117647059
34415,ISLANDS: Non-Places,4.99,['Carlburton Llc'],['Casual',20000 - 50000,26,0,2016,3,0.8216374269005848
34418,Puzzle Wishes,3.99,['RhinoGearz'],['Nudity',0 - 20000,209,0,2017,1,0.4583333333333333
34419,Peglin,19.99,"['Red Nexus Games Inc.', 'IndieArk']",['Casual',100000 - 200000,804,959,2022,2,0.7820925055651744
34421,CATS!,0.0,['Catstudio'],['Action',0 - 20000,1,0,2016,1,0.2857142857142857
34427,Cannibal Crossing,19.99,['Rocketcat Games'],['Action',0 - 20000,1222,10,2022,1,0.6887755102040817
34431,RPG in a Box,29.99,['Justin Arnold'],['Animation & Modeling',0 - 20000,51,9,2022,3,0.925
34433,Ikaruga,9.99,['Treasure'],['Action',0 - 20000,110,8,2014,1,0.945417095777549
34440,Block Story™,2.99,"['MindBlocks Studio, LLC']",['Action',50000 - 100000,384,16,2015,1,0.790990990990991
34442,Sim Racing Telemetry,0.0,['UNAmedia'],['Racing',0 - 20000,3,5,2018,2,0.7307692307692307
34451,XING: The Land Beyond,19.99,['White Lotus Interactive'],['Adventure',20000 - 50000,460,0,2017,1,0.9047619047619048
34453,Zeno Clash 2,14.99,['SEGA'],['Action',200000 - 500000,158,5,2013,1,0.7702479338842976
34457,Arma 2: Operation Arrowhead,19.99,['Bohemia Interactive'],['Action',2000000 - 5000000,253,348,2010,1,0.9230411964144721
34482,Call to Arms,14.99,['Digitalmindsoft'],['Action',1000000 - 2000000,52,470,2018,1,0.7907940542631375
34483,Zombie Party,9.99,"['Peach Pie Productions', 'Plug In Digital']",['Action',100000 - 200000,437,2,2016,1,0.8560371517027864
34486,Dinosaurs A Prehistoric Adventure,0.0,['Arcupion Art'],['Action',20000 - 50000,10,0,2017,1,0.4321608040201005
34492,Run!ZombieFood!,2.79,['VirusSea'],['Violent',20000 - 50000,237,7,2017,1,0.8204158790170132
34501,Toilet Management Simulator,6.99,['Cankut Keskin'],['Simulation'],0 - 20000,59,1,2020,1,0.7573529411764706
34503,Train Life: A Railway Simulator,19.99,['Nacon'],['Simulation',20000 - 50000,663,26,2021,1,0.806993006993007
34507,Recursion Deluxe,4.99,['2D Heroes'],['Action',0 - 20000,275,0,2016,3,0.8589743589743589
34510,Dash Fleet,0.99,['phime studio LLC'],['Action',0 - 20000,313,0,2017,3,0.3076923076923077
34513,20 Minutes Till Dawn,2.99,"['flanne', 'Erabit']",['Action',500000 - 1000000,363,2874,2022,1,0.9306056959486563
34519,Crowntakers,9.99,['Kasedo Games'],['Indie',50000 - 100000,176,8,2014,3,0.7447154471544716
34520,Gunjitsu,3.99,['Beatnik Games'],['Action',20000 - 50000,320,0,2015,2,0.8064889918887601
34524,Card of spirits,0.99,['RMking'],['Casual',20000 - 50000,195,0,2016,1,0.7659574468085106
34525,Solitaire Christmas. Match 2 Cards,4.99,['8Floor'],['Casual'],100000 - 200000,296,3,2015,1,0.7142857142857143
34529,Dark Alley Elf,4.99,['TinyHat Studios'],['Action',0 - 20000,30,0,2019,1,
34534,Osteya,3.99,['Volens Nolens Games'],['Action',100000 - 200000,322,1,2015,3,0.57
34537,HeXen II,4.99,['id Software'],['Action'],100000 - 200000,43,3,2007,1,0.8294573643410853
34542,Brutal Orchestra,14.99,['Hellbent Games'],['Action',50000 - 100000,120,16,2021,2,0.9749303621169917
34549,Need For Drink,0.99,['Room710Games'],['Action',100000 - 200000,141,0,2017,1,0.742713567839196
34550,Angels & Demigods - SciFi VR Visual Novel,0.0,['7 Keys Studios'],['Adventure',20000 - 50000,9,0,2016,2,0.5816326530612245
34552,DownStream: VR Whitewater Kayaking,7.59,['JumpStick'],['Action',0 - 20000,52,0,2019,1,0.9111111111111111
34553,Close Order,4.99,['Raconteur Games'],['Action',20000 - 50000,331,0,2016,1,0.5074626865671642
34560,The Hidden Dragon,2.99,['EnsenaSoft'],['Casual'],20000 - 50000,236,0,2016,1,0.4375
34568,BuildMoreCubes,1.99,['HA Studio Ltd.'],['Action',0 - 20000,206,0,2016,1,0.6571428571428571
34570,Disciples II: Gallean's Return,1.39,['Strategy First'],['Strategy'],50000 - 100000,1040,70,2006,1,0.8101487314085739
34577,BOXVR,29.99,['FitXR'],['Action',200000 - 500000,219,5,2019,1,0.7942492012779553
34579,Political Animals,14.99,['Positech Games'],['Indie',20000 - 50000,303,0,2016,3,0.711864406779661
34597,Sol Survivor,9.99,['Cadenza Interactive'],['Indie',100000 - 200000,1005,2,2010,1,0.9053708439897699
34605,Splice,9.99,['Cipher Prime Studios'],['Indie',200000 - 500000,61,0,2012,3,0.8846153846153846
34619,The Charnel House Trilogy,5.99,['Owl Cave'],['Adventure',20000 - 50000,217,0,2015,1,0.806070826306914
34626,Protect your planet,0.49,['Triple Rush Games'],['Casual',0 - 20000,4,0,2017,1,0.4375
34629,Chunks,0.0,['Facepunch Studios'],['Indie',0 - 20000,52,0,2016,1,0.44680851063829785
34630,TUNNEL DIVERS,0.0,['Spasman Games'],['Action',50000 - 100000,27,1,2018,1,0.8731343283582089
34635,Way of the Samurai 4,24.99,"['Spike Chunsoft Co., Ltd.']",['Action',200000 - 500000,2100,21,2015,1,0.8019925280199253
34638,Ricochet,4.99,['Valve'],['Action'],5000000 - 10000000,4,10,2000,3,0.8177128116938951
34641,Perfect Heist,4.99,['yeswecamp'],['Action',20000 - 50000,144,0,2018,1,0.7340153452685422
34648,Acorn Assault: Rodent Revolution,9.99,['Plug In Digital'],['Casual',0 - 20000,236,1,2016,2,0.7333333333333333
34652,Sakura Fantasy,9.99,['Winged Cloud'],['Casual',100000 - 200000,300,1,2015,3,0.880188679245283
34653,Disney Pirates of the Caribbean: At Worlds End,19.99,['Disney'],['Action',50000 - 100000,86,4,2014,1,0.756198347107438
34656,Bridge Constructor Portal,1.99,"['Headup', 'Whisper Games']",['Simulation',200000 - 500000,122,38,2017,3,0.9172145118091064
34658,Fiesta Online NA,0.0,['gamigo AG'],['Free to Play',200000 - 500000,2819,35,2014,1,0.5913312693498453
34663,The Infectious Madness of Doctor Dekker,8.99,"[""D'Avekki Studios Ltd""]",['Adventure',20000 - 50000,464,3,2017,3,0.853763440860215
34665,RWBY: Grimm Eclipse,19.99,['Rooster Teeth Games'],['Action',500000 - 1000000,160,15,2016,2,0.8146984376363795
34668,Assault Spy,19.99,"['NIS America, Inc.']",['Action',0 - 20000,2104,5,2018,1,0.9200680272108843
34672,Control Craft 3,4.99,"['Cristian Manolachi', 'Atomic Fabrik']",['Action',50000 - 100000,1105,19,2016,2,0.7183098591549296
34674,Knightfall: A Daring Journey,5.99,['Landfall'],['Action',100000 - 200000,44,178,2022,1,0.9141505182514646
34676,Haeven,0.99,['Cleril Calamity Studios'],['Adventure',20000 - 50000,273,0,2016,1,0.7142857142857143
34681,Gothic® 3,9.99,['THQ Nordic'],['Action',1000000 - 2000000,615,396,2009,1,0.824477037749459
34691,Underhero,14.99,['Paper Castle Games'],['Adventure',20000 - 50000,4227,5,2018,3,0.884928716904277
34694,Islet Online,16.99,['Morenori Soft'],['Indie',0 - 20000,400,21,2019,1,0.7880085653104925
34700,Paint the Town Red,19.99,['South East Games'],['Action',500000 - 1000000,502,335,2021,3,0.9533416744864978
34702,Wonder Boy: The Dragon's Trap,19.99,['Dotemu'],['Action',100000 - 200000,168,8,2017,3,0.8631828978622328
34708,Kohan: Ahriman's Gift,9.99,['TimeGate Studios'],['Strategy'],20000 - 50000,294,7,2011,1,0.875
34712,DISTRAINT 2,8.99,['Jesse Makkonen'],['Adventure',50000 - 100000,221,6,2018,1,0.9636488340192044
34713,In Celebration of Violence,7.99,['Julian Edison'],['Action',20000 - 50000,465,3,2018,3,0.8921348314606742
34732,Bloo Kid 2,3.99,['winterworks GmbH'],['Action',20000 - 50000,1,1,2015,1,0.9027237354085603
34737,Tsuki ni Yorisou Otome no Sahou,39.99,['HIKARI FIELD'],['Adventure',0 - 20000,553,144,2022,1,0.9838872104733132
34740,Hide and Run,2.99,['Waltteri Heinonen'],['Action',0 - 20000,62,1,2021,1,0.8894736842105263
34745,Torn Tales,10.99,['Chilled Mouse'],['Adventure',20000 - 50000,389,0,2017,3,0.6078431372549019
34746,Eryi's Action,4.99,['Xtal Sword'],['Action',50000 - 100000,179,1,2013,2,0.877309682187731
34752,Community College Hero: Trial by Fire,3.99,['Hosted Games'],['Indie',0 - 20000,406,1,2015,3,0.8658536585365854
34754,Null Vector,4.99,['Optical Override'],['Action',20000 - 50000,94,0,2018,1,0.9694656488549618
34757,Hydroneer,9.99,['Foulball Hangover'],['Adventure',500000 - 1000000,601,703,2020,1,0.8696307460437076
34761,The Test,1.59,['Randumb Studios'],['Simulation'],200000 - 500000,74,5,2020,1,0.9760079583357716
34764,Project Explore,4.99,['Fern Nigro'],['Action',50000 - 100000,172,0,2017,2,0.6916666666666667
34769,Commandos 3: Destination Berlin,4.99,['Kalypso Media Digital'],['Action'],500000 - 1000000,95,10,2007,1,0.6328451882845189
34770,Rising Storm 2: Vietnam,24.99,['Tripwire Interactive'],['Action',1000000 - 2000000,530,793,2017,1,0.8604849760689532
34774,Franchise Hockey Manager 7,19.99,['Out of the Park Developments'],['Simulation',0 - 20000,13618,45,2020,2,0.7732793522267206
34775,Sylphy and the Sleepless Island,19.99,['Kagura Games'],['Action',0 - 20000,327,4,2021,1,0.916030534351145
34779,Stranded Sails - Explorers of the Cursed Islands,24.99,"['rokaplay', 'Maple Whispering Limited']",['Adventure',20000 - 50000,188,6,2019,1,0.7423312883435583
34781,Chicken Shoot Gold,6.99,['Topware Interactive'],['Action',100000 - 200000,303,3,2003,2,0.671267252195734
34784,Vampire: The Masquerade - Bloodlines,19.99,['Activision'],['Action'],500000 - 1000000,494,109,2007,1,0.94909481986019
34795,"Dynamic Very, Very, Hard game!!",0.49,['SA Industry'],['Action',50000 - 100000,217,0,2016,1,0.42016806722689076
34805,Fallout 4,19.99,['Bethesda Softworks'],['RPG'],5000000 - 10000000,2163,23636,2015,1,0.8119467852048996
34815,Evolvation,9.99,['HyperReuts'],['Action',1000000 - 2000000,322,5,2017,2,0.6922234392113911
34819,Monster Slayers,8.99,['Digerati'],['Action',100000 - 200000,272,11,2017,2,0.8009049773755657
34825,Miles & Kilo,0.79,['Michael Burns'],['Action',0 - 20000,55,0,2017,2,0.9642857142857143
34831,Grand Ages: Rome,9.99,['Kalypso Media Digital'],['Simulation',200000 - 500000,223,25,2009,1,0.7338345864661654
34833,Age of Darkness: Final Stand,21.99,['Team17'],['Strategy',100000 - 200000,725,265,2021,1,0.8669354838709677
34839,Hover Junkers,19.99,['Stress Level Zero'],['Action',20000 - 50000,28,0,2016,1,0.6313193588162762
34846,Vigil: The Longest Night,21.99,['Neon Doctrine'],['Action',100000 - 200000,1574,42,2020,1,0.884789156626506
34849,Veilia,2.99,['Alex Gimson'],['Adventure',0 - 20000,273,0,2016,1,0.5384615384615384
34852,Radical Spectrum: Volume 2,1.99,['New Reality Games'],['Action',20000 - 50000,20,0,2017,2,0.4444444444444444
34853,Perfect Gold - Yuri Visual Novel,7.99,['Yangyang Mobile'],['Adventure',0 - 20000,307,1,2021,2,0.9855282199710564
34867,Aveyond 3-2: Gates of Night,9.99,['Komodo'],['Adventure',50000 - 100000,633,3,2014,1,0.616822429906542
34868,Company of Heroes,19.99,['SEGA'],['Action',1000000 - 2000000,406,1871,2006,1,0.9431075697211155
34871,Desert Gunner,2.99,['Digital Fusion Inc.'],['Action'],0 - 20000,2,0,2014,1,0.44776119402985076
34877,Aeronautica Imperialis: Flight Command,24.99,['Green Man Gaming Publishing'],['Strategy'],0 - 20000,5,1,2020,1,0.4647058823529412
34878,Shoot Mania VR: Fun Zombies,2.99,['Funny Twins'],['Action',0 - 20000,1,0,2017,1,0.5909090909090909
34880,Hard West,19.99,['Good Shepherd Entertainment'],['Adventure',200000 - 500000,466,29,2015,3,0.7745679012345679
34892,Lozenge,0.99,[''],['Casual',0 - 20000,2,0,2018,3,0.7692307692307693
34899,GONNER2,12.99,['Raw Fury'],['Action',0 - 20000,7,0,2020,3,0.7227722772277227
34908,Atomicrops,14.99,['Raw Fury'],['Action',100000 - 200000,2825,117,2020,1,0.9232227488151659
34909,Spiritfarer®: Farewell Edition,29.99,['Thunder Lotus Games'],['Adventure',500000 - 1000000,479,1208,2020,3,0.9585735540264088
34918,Flywrench,6.99,['Messhof'],['Action',20000 - 50000,14,0,2015,2,0.9638989169675091
34920,Crazy Flasher Series 2021,0.99,['Andy Law'],['Action',100000 - 200000,347,21,2021,1,0.8958513396715644
34928,Memory Oblivion Box,9.99,['NVLMaker'],['Adventure',20000 - 50000,36,2,2016,1,0.9304932735426009
34929,Construct: Escape the System,7.99,['Immanitas Entertainment'],['Action',0 - 20000,117,0,2016,3,0.7372881355932204
34932,Death Goat,0.0,['Terminal Press'],['Action',50000 - 100000,317,0,2016,2,0.7604790419161677
34934,Emergency 2012,0.0,"['Deep Silver', 'ValuSoft']",['Simulation',0 - 20000,1203,0,2010,1,0.75
34938,Hoa,14.99,"['PM Studios, inc.', 'CE-Asia']",['Action',50000 - 100000,102,7,2021,2,0.9027695934001179
34942,Mechs & Mercs: Black Talons,9.99,['Camel 101'],['Action',20000 - 50000,549,0,2015,2,0.42857142857142855
34945,Behind the Frame: The Finest Scenery,12.99,"['Akupara Games', 'Akatsuki Taiwan Inc.']",['Adventure',100000 - 200000,52,15,2021,2,0.9655069878085043
34950,StarMade,14.99,['Schine GmbH'],['Action',200000 - 500000,911,10,2014,3,0.6931582584657913
34953,Delta Force: Task Force Dagger,9.99,"['NovaLogic', 'THQ Nordic']",['Action'],20000 - 50000,1038,5,2009,1,0.8015267175572519
34965,Love Thyself - A Horatio Story,0.0,['SEGA'],['Casual',50000 - 100000,3,0,2019,2,0.9281553398058252
34967,Darkout,9.99,['KISS ltd'],['Action',100000 - 200000,239,1,2013,1,0.49008168028004667
34976,It's A Wipe!,4.99,"['Parody Games, LLC']",['Indie',0 - 20000,31,0,2014,1,0.7622950819672131
34983,Empires Apart,0.0,['Slitherine Ltd.'],['Free to Play',100000 - 200000,121,27,2018,1,0.6905552918841955
34989,POP: Methodology Experiment One,3.99,['Rob Lach Games'],['Action',0 - 20000,212,0,2014,2,0.6144578313253012
34990,A Sirius Game,4.99,['Aldorlea Games'],['Action',20000 - 50000,212,0,2015,1,0.5166666666666667
34992,Ultimate Tic-Tac-Toe,0.0,['Tigerish Games'],['Casual',200000 - 500000,41,3,2015,1,0.8269100743745774
34993,Mainframe Defenders,3.99,['Synthetic Domain'],['Indie',200000 - 500000,3,5,2020,2,0.9178356713426854
34996,EvilMorph,2.99,['ClickGames'],['Action',20000 - 50000,228,0,2017,1,0.8470588235294118
35000,The Park,5.19,['Funcom'],['Adventure'],100000 - 200000,89,3,2015,1,0.7005751258087707
35001,Rust,39.99,['Facepunch Studios'],['Action',20000000 - 50000000,3035,96112,2018,2,0.8667056693475877
35005,Wrongworld,14.99,['Sludj Games'],['Action',20000 - 50000,80,1,2018,1,0.9433962264150944
35006,Silence of the Sleep,4.99,['Jesse Makkonen'],['Adventure',50000 - 100000,217,4,2014,1,0.7574334898278561
35013,Return to Castle Wolfenstein,4.99,['Bethesda-Softworks'],['Action'],500000 - 1000000,63,69,2007,1,0.9304080061585835
35015,Pixel Puzzles 2: Space,4.99,['Pixel Puzzles'],['Casual',200000 - 500000,256,1,2016,1,0.8632218844984803
35018,Eron,0.49,['SA Industry'],['Indie'],200000 - 500000,237,6,2015,2,0.6013289036544851
35027,Urban Trial Freestyle,6.99,['Tate Multimedia'],['Action',100000 - 200000,134,2,2013,1,0.8232618583495777
35031,planetarian ~the reverie of a little planet~,9.99,['Sekai Project'],['Casual'],50000 - 100000,107,3,2014,1,0.9748846745258841
35032,PRO EVOLUTION SOCCER 2019,0.0,['Konami Digital Entertainment'],['Sports'],200000 - 500000,2673,162,2018,1,0.5373412362404741
35033,Copoka,4.99,['Guru Games'],['Casual',20000 - 50000,217,0,2017,1,0.7662337662337663
35037,YUME 2 : Sleepless Night,3.99,['Lovely Games'],['Action',20000 - 50000,309,3,2021,1,0.49747474747474746
35045,Sakura Magical Girls,9.99,['Winged Cloud'],['Adventure',20000 - 50000,472,0,2017,1,0.7276264591439688
35047,A Light in the Dark,14.99,['Sekai Project'],['Casual',50000 - 100000,96,2,2018,2,0.9389312977099237
35048,Game Character Hub,14.99,['Komodo'],['Design & Illustration',100000 - 200000,53,7,2014,1,0.692063492063492
35050,GRAV,19.99,"['BitMonster, Inc.']",['Action',500000 - 1000000,231,2,2015,1,0.4867770996803255
35052,Spacebase Startopia,39.99,['Kalypso Media'],['Simulation',20000 - 50000,159,11,2021,3,0.5882352941176471
35060,Sparkle 3 Genesis,4.99,['Forever Entertainment S. A.'],['Action',200000 - 500000,266,5,2015,3,0.6185770750988142
35061,The Cat Games,1.99,['Liu Lidan'],['Action',50000 - 100000,109,0,2017,1,0.8992161254199328
35062,Gunman Clive 2,2.99,['Hörberg Productions'],['Action',0 - 20000,1,0,2015,1,0.8962264150943396
35063,Envy the Dead,0.99,['Kazakov Oleg'],['RPG',50000 - 100000,229,0,2016,1,0.6824644549763034
35068,Nelo,4.99,['Magic and Mirrors'],['Action',0 - 20000,69,0,2017,1,0.728
35073,Board Defenders,4.99,['Ludus Studio'],['Casual',0 - 20000,243,0,2016,1,0.9444444444444444
35081,Yakuza Kiwami,19.99,['SEGA'],['Action',500000 - 1000000,1361,515,2019,1,0.9338612368024133
35087,Frog Fractions: Game of the Decade Edition,0.0,"['Twinbeard, Inc.']",['Action',100000 - 200000,71,4,2020,2,0.9513647642679901
35099,Drug Dealer Simulator,19.99,"['Movie Games S.A.', 'PlayWay S.A.']",['Action',500000 - 1000000,562,320,2020,1,0.8679349107774545
