,name,price,publishers,genres,estimated_owners,median_playtime_forever,peak_ccu,release_year,compatible_systems,positive_rate
790,Cultivation Tales,19.99,['Ac Games'],['Action',500000 - 1000000,2689,310,2022,1,0.38090483140026116
791,Space Pirate Trainer,14.99,['I-Illusions'],['Action'],200000 - 500000,96,21,2017,1,0.945280940139552
794,Happy Quest,1.99,['HappyGames'],['Adventure',50000 - 100000,62,2,2020,1,0.8317757009345794
796,Sakura Spirit,9.99,['Winged Cloud'],['Indie'],200000 - 500000,225,4,2014,3,0.7860600193610843
798,Guns of Succubus,6.99,['OTAKU Plan'],['Adventure',0 - 20000,48,1,2021,1,0.8723404255319149
799,Intake,9.99,['Cipher Prime Studios'],['Action',20000 - 50000,172,0,2013,2,0.9287531806615776
804,Gabe Newell Simulator,2.99,['Antonio Renna'],['Action',20000 - 50000,134,2,2015,3,0.5008
805,Epic Manager - Create Your Own Adventuring Agency!,17.99,"['ManaVoid Entertainment', 'Indie Asylum']",['Adventure',50000 - 100000,1266,0,2016,2,0.6902654867256637
808,Adventure Apes and the Mayan Mystery,2.99,['Groupees Interactive'],['Adventure',0 - 20000,263,0,2016,1,0.7368421052631579
817,Feather Of Praying 羽翼的祈愿,1.99,['Ningbing Games'],['Adventure',0 - 20000,233,1,2018,1,0.9605911330049262
818,GOD EATER 2 Rage Burst,49.99,['BANDAI NAMCO Entertainment'],['Action',200000 - 500000,178,26,2016,1,0.7802034234681221
821,Better Off Tread,0.0,"['Pixel Constructor, LLC']",['Action',50000 - 100000,3,0,2017,2,0.6206896551724138
823,Epic Showdown,4.99,['Naloki'],['Action',0 - 20000,2,0,2015,1,0.37209302325581395
824,270 | Two Seventy US Election,0.0,['Political Games LLC'],['Strategy'],100000 - 200000,81,11,2018,2,0.7673758865248227
825,Ys VI: The Ark of Napishtim,19.99,"['XSEED Games', 'Marvelous USA, Inc.']",['Action',100000 - 200000,634,5,2015,1,0.9006410256410257
828,American Truck Simulator,19.99,['SCS Software'],['Indie',2000000 - 5000000,858,6087,2016,3,0.964393799594021
838,UAYEB: The Dry Land - Episode 1,12.99,['ICA GAMES'],['Action',0 - 20000,2583,0,2018,1,0.6419753086419753
852,I Can't Believe It's Not Gambling,0.99,['Mutant Entertainment Studios'],['Casual',50000 - 100000,75,4,2017,2,0.9194857916102842
858,Leisure Suit Larry 5 - Passionate Patti Does a Little Undercover Work,4.99,['Assemble Entertainment'],['Adventure'],20000 - 50000,2,1,2017,1,0.6129032258064516
864,Black Skylands,19.99,['tinyBuild'],['Action',20000 - 50000,560,24,2021,1,0.885972850678733
870,Lost Planet® 2,0.0,['Capcom'],['Action',200000 - 500000,427,10,2010,1,0.6737880032867708
879,Legend of Ares,0.0,['RedFox Games'],['Free to Play',20000 - 50000,1,0,2017,1,0.5555555555555556
883,War on the Sea,39.99,['Killerfish Games'],['Simulation',20000 - 50000,790,229,2021,2,0.7689393939393939
889,Zoo Tycoon: Ultimate Animal Collection,19.99,['Xbox Game Studios'],['Simulation'],100000 - 200000,565,35,2018,1,0.6281962681409814
902,Negligee: Spring Clean Prelude,0.0,['Dharker Studios Ltd'],['Adventure',0 - 20000,13,0,2021,1,
906,Dragon Fantasy: The Volumes of Westeria,9.99,['Choice Provisions'],['RPG'],0 - 20000,274,0,2015,3,0.8372093023255814
908,Ethan: Meteor Hunter,9.99,['Seaven Studio'],['Action',100000 - 200000,292,0,2014,1,0.611353711790393
909,Feign,4.99,['tenekekafalarstudios'],['Casual',100000 - 200000,925,123,2021,1,0.9026595744680851
916,Tunnels of Despair,5.99,['BearFighterDev'],['Action',0 - 20000,257,1,2018,1,0.6875
921,ANIME REDEMPTION,1.99,['Konnichiwa Games'],['Action',0 - 20000,98,0,2020,1,0.7284768211920529
923,Discouraged Workers,14.99,['YGGDRASIL STUDIO'],['Adventure',0 - 20000,621,1,2015,3,0.6161616161616161
930,Long Live The Queen,9.99,['Hanako Games'],['Indie',200000 - 500000,196,17,2013,3,0.9507000297885017
932,√Letter - Root Letter -,1.99,"['DRAGAMI GAMES, LTD.']",['Adventure'],0 - 20000,603,2,2017,1,0.8081023454157783
946,Nikopol: Secrets of the Immortals,4.99,['Meridian4'],['Adventure',100000 - 200000,131,0,2009,1,0.5491329479768786
948,Rift Wizard,14.99,['Dylan White'],['Indie',100000 - 200000,119,25,2021,1,0.9479606188466948
950,Moonshot,4.99,['Pump Action Games'],['Action',0 - 20000,197,0,2015,1,0.875
955,Thea 2: The Shattering,24.99,['MuHa Games'],['Indie',100000 - 200000,159,72,2019,1,0.7797872340425532
960,Flat Heroes,9.99,['Parallel Circles'],['Action',50000 - 100000,45,1,2016,3,0.8932461873638344
963,旧手表 - Old Watch,9.99,['灰烬天国'],['Casual',20000 - 50000,157,0,2017,2,0.8521462639109698
964,Tales of the Neon Sea,16.99,['Thermite Games'],['Adventure',500000 - 1000000,332,9,2019,1,0.8670520231213873
966,Jesus Christ RPG Trilogy,0.0,['Wholetone Games'],['Free to Play',100000 - 200000,172,1,2016,1,0.8581035642232683
967,King Arthur's Gold,0.0,['Transhuman Design'],['Action',500000 - 1000000,63,41,2013,2,0.8410245984956292
972,Indecision.,4.99,['Bilge Kaan'],['Adventure',20000 - 50000,39,0,2018,1,0.8511796733212341
985,Star Renegades,24.99,['Raw Fury'],['Action',200000 - 500000,315,50,2020,1,0.8559769563130101
990,Bus Mechanic Simulator,24.99,['Aerosoft GmbH'],['Casual',0 - 20000,305,0,2020,1,0.5857142857142857
